"product_id","platform_name","genre_name","product_name","description","picture","price","uploaded","sold","in_stock","delivery_time"
"1","PC","RPG","Bound by Flame","V Bound by Flame budete hrát za žoldáka posedlého plamenným démonem. Hráči, coby oběti démonického vlivu, si budou muset vybírat, jestli přijmou moc, kterou jim nabízí jejich hostitel, nebo si zachovají lidskost a budou se místo toho soustředit na hrdinské vlastnosti. Nepřátelé a nástrahy, čím dál tím děsivější a lítější, vás budou lákat, abyste získali více schopností tak, že část hrdinovy duše zaprodáte démonovi. Postup démonického vlivu se bude zobrazovat na těle hrdiny.V závislosti na volbách hráče a démonickém vlivu budou mít některé kapitoly odlišný scénář a nabídnou jiný zážitek, což hře dodává na znovuhratelnosti. Souboje v reálném čase jsou působivé a dynamické. Pokud hráč zahájí hru jen se základní znalostí souboje, ohnivé magie a zabijáctví, bude se moci specializovat odemykáním a vylepšováním mnoha schopností ze 3 různých vývojových větví. V Bound by Flame si hráči můžou svou postavu upravit podle svého. Během vytváření svého hrdiny si budou moci zvolit pohlaví a rysy v obličeji. To samozřejmě ovlivní i hrdinův démonický vliv. Bound by Flame také obsahuje systém výroby, který umožňuje vytvářet a vylepšovat vybavení včetně zbroje a zbraní. K hráčově výpravě se připojí také několik společníků a podle jeho činů se vztahy s nimi můžou vyvinout v přátelství, lásku či nenávist. Bestiář Bound by Flame je také ohromný. Hráči se budou muset utkat s mnoha působivými příšerami: stínoví draci, lišajové, nemrtví, ledové stvůry… epické střety vás čekají na každém rohu. Kterou cestou se vydáte? Budete prahnout po démonické moci a magii, s jejíž pomocí své nepřátele sežehnete plamenem, anebo dáte přednost bojovým dovednostem a srdnatosti?","boun(1).dbyflame.jpg","199","2016-07-13 00:00:00","1503","7","1"
"2","PC","RPG","Blackguards","Blackguards pokládá hráči jednoduchou otázku. Co by se stalo, kdyby osud světa v tísni nelpěl v rukou ctnostných rytířů v naleštěných zbrojích, ale otěží se záměrem jeho záchrany by se naopak chopili zatracenci a zločinci odsouzení na smrt? Ve hře se ujímáte role usvědčeného a odsouzeného vraha, který se s partou neméně pochybných existencí vydal na dlouhou výpravu skrze jižní Aventurii, jejímž cílem je zabránit pádu světa do temnoty. Postupem skrze kapitoly se postupně dovíte více a více v příběhu plném intrik a nečekaných zvratů, v němž o morální rozhodnutí není nouze. Jak daleko zajdete, aby jste dosáhli svých cílů? The Dark Eye:Blackguards je turn-based RPG od společnosti Daedalic Entertainment. Čeká vás 180 plně trojrozměrných map s řadou interaktivních objektů pro tahové souboje na (do hexagonů rozdělených) bojových polích. Vypomoci si lze v taktických bitvách i více jak 40 speciálními schopnostmi vašich antihrdinů a více jak 90 kouzly","blackguard.jpg","209","2016-07-14 00:00:00","150","0","2"
"3","PC","Strategie","Cossacks 3","Klasická real-time strategie se po dlouhých letech vrací. Znovu vás čeká taktický výcvik jednotek, stavba budov a těžba surovin. Hra se tradičně odehrává v 17. a 18. století s 12 hratelnými národy. Do rukou se vám dostane až 10 000 jednotek současně.Po vydání na vás čeká pět historických kampaní pro jednoho hráče a další budou přibývat v aktualizacích zdarma. Včetně dalších 8 národů, jejichž celkový počet se zastaví na 20. V základní hře to budou Rakousko, Francie, Anglie, Španělsko, Rusko, Ukrajina, Polsko, Švédsko, Prusko, Benátky, Turecko a Alžírsko.V multiplayeru může proti sobě hrát až 8 hráčů, jak v týmech tak i proti počítači. Bitvy budou probíhat na náhodně vygenerovaných mapách.Herní mechanizmy budou kompletně vycházet z prvního dílu Cossacks, který mají hráči dodnes nejraději. Není to však rozhodně finální stav. Hratelnost budou vývojáři z počátku upravovat dle reakcí fanoušku, aby byla opravdu přesně taková, jakou si přejí.","cossacks.jpg","549","2016-09-20 00:00:00","30","10","3"
"4","XONE","Sportovní","FIFA 17","FIFA 17 poprvé využívá nekompromisního výkonu enginu Frostbite a přináší tak revoluci do samotné hratelnosti a prožitku ze hry. Těšit se můžete na inovace ve způsobu myšlení a pohybu fotbalistů či fyzickém kontaktu s protivníky. To vám umožní účinný přechod do ofenzívy, čímž si podmaníte každý okamžik na hřišti. Vůbec poprvé v historii hra nabídne také příběhovou kampaň pro jednoho hráče.Poprvé v sérii FIFA budete moct prožít svůj příběh na hřišti i mimo něj jako Alex Hunter, vycházející hvězda Premier League. Podepište smlouvu s některým z klubů Premier League vedeného reálným trenérem, jenž má v týmu špičkové hráče z celého světa. Vstupte do nového světa a vydejte se na Cestu, na níž vás čeká plno vypjatých vzestupů i pádů. Je těsně před startem sezóny 2016/2017 a vy se ocitáte v roli Alexe Huntera, mladého nadějného Angličana na prahu kariéry v Premier League. Vaším úkolem je zdolat překážky, popasovat se s tíhou slavného fotbalového jména a vybudovat vlastní odkaz. Před Alexem stojí na hřišti, ale i mimo něj, řada velkých nástrah a obtížných rozhodnutí – vy teď máte šanci vydat se spolu s ním na Cestu a zažít fotbal ze strany, kterou důvěrně znají jen hráči nejvyšší soutěže. Jeden z předních enginů v herním průmyslu, Frostbite, přinese ve verzích pro Xbox One, PlayStation 4 a PC autentickou a realisticky zpracovanou akci, kterou hráči zakusí v nových fotbalových světech po boku barvitých postav s emocemi. Frostbite přináší do fotbalových světů ještě více detailů. Těšte se na zcela nová prostředí jako vstupní tunely, šatny, trenérovu kancelář nebo týmové letadlo. Čeká na vás skutečně působivý herní zážitek, který vás vtáhne do fotbalu a umožní vám prožít emoce tohoto sportu na hřišti i mimo něj.","fifa17.jpg","1779","2016-09-16 00:00:00","200","0","4"
"5","X360","Adventury","Terraria","Kopejte, bojujte, objevujte, stavějte! Nic není nemožné v této akčně napěchované dobrodružné hře. Svět je vaším plátnem a samotný terén je vaší barvou. Seberte své nástroje a běžte! Vyrobte zbraně k přemožení různých nepřátel z mnoha biomů. Vykopejte hluboká podzemí k nalezení doplňků, peněz a jiných užitečných věcí. Shromážděte zdroje k vytvoření všeho, co je zapotřebí, aby se stal svět vaším vlastním. Postavte dům, pevnost nebo dokonce zámek. Lidé se tam nastěhují, možná vám dokonce prodají i různá zboží, aby vám vypomohli na vaší cestě. Mějte se však na pozoru, jsou tu daleko větší výzvy, které vás ještě čekají... Jste na ně připraveni?","terraria.jpg","549","2016-09-08 00:00:00","10","10","5"
"6","PS4","Simulátory","F1 2016","Vytvořte si vlastní legendu formule 1. V novém ročníku se vrací propracovaná kariéra, kde během deseti sezón získáte šanci ukázat co ve vás je. Nejprestižnější motorsport na světě ale není žádná selanka. Ihned nebudete na stupních vítězů, ale musíte se na ně propracovat poctivou dřinou. Hra zahrnuje kompletní sezónu 2016 se všemi 21 tratěmi, 22 jezdci a 11 týmy. Poprvé se tak projedete po novém pouličním okruhu Baku v Ázerbájdžánu. Na trať se vrací oblíbený Safety Car a poprvé zde bude Virtuální Safety Car. Aktuální ročník nabídne také vhled do samotného vývoje vozů. Budete spolupracovat se svým agentem, inženýry a celým týmem na vývoji svého vozu, aby mohl být tím nejrychlejším na startovní čáře.","f12016.png","1699","2016-09-09 00:00:00","5000","0","1"
"7","PS3","Akční","Assassins Creed 4: Black Flag","Série s milióny prodaných kusů na svém kontě se nám rozrůstá o další díl. Zapomeňte na hrdiny, z dějů minulých, poznejte nové pohledy, nové hrdiny a nové prostředí, plavte se po černou vlajkou a zakuste sílu moře a větru! Velte své lodi a staňte se hrozbou pro obchodníky. Přichází nová doba a už nyní, je čas na změnu. Assassins Creed IV: Black Flag přichází a bude tu již tento rok.Assassins Creed IV Black Flag vypráví příběh Edwarda Kenwaye, mladého Brita s touhou po nebezpečí a dobrodružství. Edward je nelítostný pirát a zkušený bojovník, který se zaplete do starověké války mezi templáři a asasíny. Hra se odehrává na počátku 18. století a obsahuje jména některých z nejznámějších pirátů historie jako Blackbeard či Charles Vane a zavede hráče na cestu po celé západní Indii v době, jenž je nazývána zlatý věk pirátů.","Assassins_Creed_IV_Black_Flag.jpg","499","2016-09-04 00:00:00","300","10","1"
"8","PC","Adventury","Broken Age","Klasická adventura ze staré školy od legendárního Tima Schafera. Ve hře budete sledovat příběh dvou zdánlivě nesouvisejících postav. Chlapce ve vesmírné lodi Shaye, který nekonečně pluje vesmírem a dívky Velly v pohádkovém království, jenž se má stát obětí obávané nestvůry.Broken Age se zapsal jako průlomový projekt na Kickstarteru a díky nečekaně vysoké vybrané částce se projekt uskutečnil. Zároveň se stal tak obsáhlým titulem, že musel být rozdělen a nyní se dočkáme jeho prvního dílu. Vrhněte se do světa snů, světa plného ambicí, světa kde musíte přežít a kde prožíváte paralelně dva příběhy. Chlapce Shay na kosmické lodi, jenž se snaží uniknout ze spárů diktátorského palubního počítače a dívky Vella v pohádkovém království, kde oběť panen přináší záchranu, ale je tomu opravdu tak. Hra Vám umožní kdykoliv přepínat mezi hrdiny, proto se připravte na příběh příběhů a poznejte nepoznané.","broken_age.png","699","2016-09-03 00:00:00","145","0","2"
"9","PC","Akční","7 Days to Die","7 Days to Die vykrádá Minecraft a DayZ a vypadá velice dobře. Hráči v této survival hře s otevřeným světem mohou prozkoumávat divočinu, shromažďovat suroviny a vytvářet si své vlastní nástroje, zbraně, opevnění a pasti kolem svých příbytků, které si také musí ze surovin vybudovat. Hlavním úkolem je ale přežít ve světě plném zombie. ","7days.jpg","749","2016-09-01 00:00:00","800","10","3"
"10","PC","Plošinovky","Deadlight: Directors Cut","Hororová zombie plošinovka ve vylepšené Directors Cut edici. Čeká vás upravené ovládání, vyladěné animace a celá řada dalších úprav. A k tomu také nový mód Survival Arena, který prověří vaše schopnosti přežít mezi zombie.Děj se odehrává v alternativní minulosti roku 1986 a vypráví příběh Randalla Waynea. Randall je introvert a lehce paranoidní přeživší, jenž se snaží ve světě zničeném zombie apokalypsou najít své blízké. Z ulic zničeného Seattlu, přes rozpadlé kanalizace a zbytky zničeného stadionu budete cestovat směrem k bájnému místu jménem Safe Point.","deadlight.jpg","599","2016-08-17 00:00:00","900","0","4"
"11","PC","Simulátory","BeamNG.drive ","Nejrealističtější simulace automobilových nehod BeamNG Drive je závodní hrou, která se soustředí zejména na realistické pojetí fyziky a demolice. Je postavena na CryEngine 3, ale notně vylepšeném o vlastní fyzikální soft-body engine (deformovatelné objekty), který nemá konkurenci v existujících, ani připravovaných projektech. Jde o revoluci v tom, jak se hry hýbou, ne jak vypadají, což je také jednou z hlavních vizí celého projektu. ","beamng.jpg","799","2016-08-12 00:00:00","785","10","5"
"12","PC","Sportovní","Blood Bowl 2","Hra Blood Bowl 2, která v sobě snoubí Warhammer a americký fotbal, představuje výbušný koktejl tahové strategie, humoru a brutality podle slavné deskové hry od Games Workshop.Nový grafický engine hry Blood Bowl 2 a ctižádostivá realizace přinášejí věrné vyobrazení zuřivé a intenzivní klasiky zápasů v Blood Bowlu. V režimu sólové hry povedete slavné Reikland Reavers, někdejší hvězdný tým v Blood Bowlu. Budete mít za úkol vrátit jim zašlou slávu v příběhové kampani podpořené třeskutě vtipným komentářem Jima a Boba z Cabalvision. Každý zápas v kampani je jedinečný, obsahuje nečekané a překvapivé zvraty, takže zážitek je pokaždé jiný! Režimy pro více hráčů jsou větší a bohatší než kdy dřív. V trvalém online režimu si můžete vytvořit a spravovat vlastní tým složený z jedné z osmi ras ze světa Warhammer – těmi jsou lidé, orkové, trpaslíci, skaveni, vyšší elfové, temní elfové, chaoti a nováčci z Bretonnie. Svůj tým budete rozvíjet, získávat zkušenosti a odemykat si nové schopnosti. Ale pozor! Veškeré ztráty na hřišti jsou trvalé... Pořádejte kompletně upravitelné turnaje od kvalifikace až po finále a pomocí nového trhu přestupů nakupujte a prodávejte své hráče a sestavte si vlastní bloodbowlový tým snů! ","bloodbowl.jpg","599","2016-09-30 00:00:00","789","0","1"
"13","PS3","Akční","Alien: Isolation","Poznejte skutečný význam slova strach v Alien: Isolation, hře žánru ""survival horror"" zasazené do atmosféry neutuchající hrůzy a smrtelného nebezpečí. Patnáct let po událostech z filmu Vetřelec se Amanda, dcera Ellen Ripleyové, vydává zjistit pravdu o zmizení své matky, a tím začíná její vlastní zoufalý boj o přežití. V roli Amandy se budete pohybovat v neuvěřitelně nepřátelském světě, obklopeni zoufalými a zpanikařenými lidmi a ohrožováni nepředvídatelným a nemilosrdným vetřelcem. Bez speciální výbavy či přípravy musíte hledat improvizovaná řešení nejrůznějších situací, používat svůj důvtip a okolní předměty a zařízení. Ne jen proto, abyste ve své misi uspěli, ale abyste vůbec zůstali naživu.","alien_isolation_ps3.jpg","599","2016-09-17 00:00:00","320","10","2"
"14","PS3","RPG","Atelier Shallie: Alchemists of the Dusk Sea","Vyberte si, zda budete hrát za odměřenou a soustředěnou Shallisteru, nebo za ambiciozní a energickou Shallotte. Ač mají odlišný vzhled i mentalitu, obě mají shodnou přezdívku ""Shallie"". Shallistera je dcerou klanového vůdce, která se vydává na výpravu za vyřešením potíží, které postihly její domovinu. Shallotte se pro změnu snaží proslavit na poli alchymie. Zakuste příběh z pohledu obou dívek v této hře, která zahrnuje mnoho odboček a různých zakončení pro každou z nich. Další pokračování japonského RPG z řady Atelier, ve kterém máme možnost hrát hned za dvě alchymistky. Hra opět nabízí klasické možnosti alchymistických her, které spočívají v přípravě, sbírání ingrediencí, vyrábění předmětů a jejich používání v soubojích. Chybět samozřejmě nebude ani systém vylepšování postavy.","Atelier_Shallie_cover.jpg","1199","2016-10-02 00:00:00","753","0","1"
"15","PS3","Simulátory","Farming Simulator 2015 ","Farming Simulator 15 vás zve do náročného světa moderního farmaření. Postavte se výzvám farmářského života včetně chovu zvířat jako krávy, slepice a ovce, pěstování plodin a jejich prodeje. Starejte se o svou farmu a rozvíjejte ji v obrovském otevřeném světě, které nyní obsahuje i zcela nové severské prostředí. Seznamte se s obyvateli, kteří vám zadají úkoly, a dokažte, že jste všestranně nadaný farmář! Farming Simulator 15 představuje novou aktivitu: kácení stromů! Starejte se o les na své mapě pomocí nových dostupných vozidel a strojů jako třeba nákladních vozů na klády, motorových pil, štěpkovačů a přívěsů. Aby byla vaše vozidla čistá, navštěvujte pravidelně myčky. Kdo by ve své garáži chtěl špinavý traktor? Farming Simulator 15 také přichází s online režimy a službami. Starejte se o farmu až s 10 přáteli online nebo na místní síti. Také můžete sdílet modifikace, vozidla a vybavení s hráči z celého světa, což vám umožní v podstatě neomezený obsah a bezpočet hodin herní doby! ","farmingcover.jpg","999","2016-09-21 00:00:00","667","9","2"
"16","PS3","Sportovní","NBA 2K15","NBA 2K15 je pokračováním série simulátorů NBA a její tváří se tento rok stal čtyřnásobný šampion bodování NBA a nedávno korunovaný držitel ceny pro nejužitečnějšího hráče NBA pro rok 2014, Kevin Durant z Oklahoma City Thunder. Nový díl zároveň představuje opravdovou next gen sportovní hru, kde je kladen důraz na reálnost pohybů postav, každého svalu a i fyziku míče. Hru NBA 2K15 vyvíjí Visual Concepts.","NBA_2K15_cover_art.jpg","699","2016-08-13 00:00:00","1945","0","3"
"17","PS4","Adventury","Batman: The Telltale Series ","Objevte dalekosáhlé následky svých rozhodnutí jako Temný rytíř. Mistři epizodických filmových her z Telltale představují svoji zatím nejambicióznější hru. Jako Batman narazíte na klasické spojence i protivníky a jako Bruce Wayne pocítíte co opravdu znamená, býti mužem v kápi.Drsný a násilný příběh od autorů herní série The Walking Dead otřese jak samotným Brucem, tak i už tak křehkou stabilitou Gotham City. Vaše volby v průběhu hry vytvoří novou kapitolu v životě výstředního průmyslníka a netopýřího detektiva.","Batman-The-Telltale-Series-ps4-free-download.jpg","899","2016-09-30 00:00:00","3700","8","4"
"18","PS4","Akční","Aegis of Earth: Protonovus Assault","Frenetická akční strategie, kde budete plánovat a budovat svoji obranu proti hordám monstrózních nepřátel. Ti totiž mají v plánu vyhladit vás z povrchu zemského, jelikož vaše město je poslední baštou lidstva.Zapojte se do dynamické obrany města pomocí revoluční herní mechaniky, ve které otáčíte celým svým městem při míření na nepřátele. Neponechejte žádný kvadrant nedotčený, nepřátelé pochodují ze všech stran!Budete velet a zlepšovat pestrou nabídku jednotek a obřích zbraní. Díky napínavým herním mechanikám budete stále ve středu dění. Decimujte nepřátelské řady nepusťte je ani na krok do vašeho města.","Aegis_of_Earth_Vita_cover_art.jpg","1399","2016-10-12 00:00:00","1564","0","5"
"19","PS4","Plošinovky","Super Meat Boy","Super Meat Boy je plošinovka kde hrajete za kostku masa, která se snaží zachránit svou přítelkyni před zlým zárodkem v nádobě, který je oblečený ve smokingu. Náš masitý hrdina bude skákat ze zdí, přes moře cirkulárek, skrz hroutící se jeskyně a bazény použitých jehel. Obětuje svoje vlastní pohodlí, aby zachránil svou dámu v nesnázích. Super Meat Boy přináší obtížnost ze staré školy - z klasických NES titulů jako Mega Man 2, Ghost and Goblins a Super Mario Bros. 2 (japonské verze) a přivádí je zpět k dokonalému a základnímu skákání. Zvyšující se obtížnost, od těžké po ničící duši, dovede Meat boye skrz staré nepoužívané nemocnice, továrny na sůl a dokonce do samotného pekla.A pokud by přes 300 single player úrovní nebylo dost, Super Meat Boy přidá navíc neuvěřitelné souboje s bossy, editor úrovní a hromadu odemykatelných secretů, pokřivené zóny a skryté postavy.","936full-super-meat-boy-cover.jpg","599","2016-10-16 00:00:00","1240","4","1"
"20","PS4","RPG","Dark Souls III","Pokračování dnes již legendární RPG série vám opět nedá nic zadarmo. Ať už jste nováček nebo Souls fanoušek, čeká vás jen to nejhorší. Opět se až po uši ponoříte do temného fantasy světa, okusíte nelítostnou krutost a ztratíte pojem o čase. To vše díky brutální, ale férové hratelnosti a ohromující grafice. Světy Dark Souls jsou vždy unikátním zážitkem, který jinde nenajdete. Ve třetím díle tomu nebude jinak a rádi se v jeho dechberoucích temných kulisách budete opakovaně ztrácet a umírat. Samotný soubojový systém se dočkal spousty zpestření a úprav, ale stále vychází ze základů Souls série. Každá chyba je tedy po zásluze potrestána. Těšit se však můžete na ještě pestřejší paletu zbraní a unikátní herní styly.V Dark Souls III se představí nová verze unikátního online režimu, který tato série založila. Režim souvisle integruje všechny hráče a jednotlivé interakce do příběhu pro jednoho hráče.Díky dynamickému nasvícení a dalším vizuálním efektům se zcela ponoříte do temného fantasy světa. Světa plného zákeřných nástrah a děsivých nepřátel, před kterými budete zavírat oči.","darksouls3.jpg","1699","2016-09-28 00:00:00","4425","0","2"
